sample	treatment	stage
LCT_1	ct_L	Larvae
LCT_2	ct_L	Larvae
LCT_3	ct_L	Larvae
LHW_1	hw_L	Larvae
LHW_21	hw_L	Larvae
LHW_3	hw_L	Larvae
CCT_F1	control_F	Female
CCT_F2	control_F	Female
CCT_F3	control_F	Female
CCT_F4	control_F	Female
CHW_F1	hw_F	Female
CHW_F2	hw_F	Female
CHW_F22	hw_F	Female
CHW_F3	hw_F	Female
Cre_F1	cre_F	Female
Cre_F2	cre_F	Female
Cre_F3	cre_F	Female
Cre_F4	cre_F	Female
CCT_M1	control_M	Male
CCT_M22	control_M	Male
CCT_M3	control_M	Male
CHW_M2	hw_M	Male
CHW_M23	hw_M	Male
CHW_M3	hw_M	Male
CHW_M4	hw_M	Male
Cre_M1	cre_M	Male
Cre_M21	cre_M	Male
Cre_M3	cre_M	Male
Cre_M4	cre_M	Male
